index,item_identifier,item_weight,item_type,item_fat_content,item_mrp,item_visibility,outlet_identifier,outlet_establishment_year,outlet_size_str,outlet_size_num,outlet_location_type,outlet_type,item_outlet_sales,outlet_item_revenue
53,FDA43,10.895,Fruits and Vegetables,Low Fat,196.3794,0.065041581,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3121.2704,612953.21
54,NCP18,12.15,Household,Low Fat,151.4708,0.028760013,OUT017,2007,medium,2,Tier 2,Supermarket Type1,4815.0656,729341.84
55,FDK21,7.905,Snack Foods,Low Fat,249.0408,0.010053105,OUT018,2009,medium,2,Tier 3,Supermarket Type2,6258.52,1558626.83
56,NCX54,9.195,Household,Low Fat,106.1622,0.048157338,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2117.244,224771.28
57,DRK35,8.365,Hard Drinks,Low Fat,38.0506,0.071958197,OUT049,1999,medium,2,Tier 1,Supermarket Type1,796.9626,30324.91
58,FDY21,15.1,Snack Foods,Low Fat,194.511,0.173481304,OUT046,1997,small,1,Tier 1,Supermarket Type1,4910.275,955102.5
59,FDI26,12.6,Canned,Low Fat,180.0344,0.061082177,OUT019,1985,small,1,Tier 1,Grocery Store,892.172,160621.65
60,FDM20,10.0,Fruits and Vegetables,Low Fat,246.9144,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3185.1872,786468.59
61,FDV27,7.97,Meat,Regular,87.3514,0.040071131,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1062.6168,92821.07
62,FDF09,12.6,Fruits and Vegetables,Low Fat,38.2848,0.012090074,OUT027,1985,medium,2,Tier 3,Supermarket Type3,484.7024,18556.73
63,FDY40,12.6,Frozen Foods,Regular,51.0692,0.15028599,OUT019,1985,small,1,Tier 1,Grocery Store,147.8076,7548.42
64,FDY45,12.6,Snack Foods,Low Fat,255.8356,0.026015519,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2543.356,650681.01
65,FDC46,17.7,Snack Foods,Low Fat,185.4266,0.195068226,OUT010,1998,medium,2,Tier 3,Grocery Store,184.4266,34197.6
66,FDH19,19.35,Meat,Low Fat,172.5738,0.033082215,OUT035,2004,small,1,Tier 2,Supermarket Type1,4865.6664,839686.54
67,FDZ03,13.65,Dairy,Regular,186.024,0.078946455,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1118.544,208076.03
68,DRH37,17.6,Soft Drinks,Low Fat,164.8526,0.041700756,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2302.3364,379546.14
69,NCI17,8.645,Health and Hygiene,Low Fat,95.841,0.143422643,OUT046,1997,small,1,Tier 1,Supermarket Type1,2027.361,194304.31
70,FDJ58,15.6,Snack Foods,Regular,170.1764,0.105296072,OUT046,1997,small,1,Tier 1,Supermarket Type1,3435.528,584645.79
71,FDL12,15.85,Baking Goods,Regular,59.222,0.121531501,OUT013,1987,high,3,Tier 3,Supermarket Type1,599.22,35487.01
72,FDH35,18.25,Starchy Foods,Low Fat,164.7526,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,4604.6728,758631.82
73,FDG02,7.855,Canned,Low Fat,189.6188,0.011324862,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2285.0256,433283.81
74,NCZ18,7.825,Household,Low Fat,254.3698,0.186357148,OUT049,1999,medium,2,Tier 1,Supermarket Type1,5580.7356,1419570.6
75,FDC29,8.39,Frozen Foods,Regular,114.0176,0.024205661,OUT046,1997,small,1,Tier 1,Supermarket Type1,2290.352,261140.44
76,FDQ10,12.85,Snack Foods,Low Fat,172.3422,0.033230816,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1207.0954,208033.48
77,FDN48,12.6,Baking Goods,Low Fat,89.9804,0.113720344,OUT019,1985,small,1,Tier 1,Grocery Store,643.1628,57872.05
78,FDL04,19.0,Frozen Foods,Low Fat,104.9622,0.112556507,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1587.933,166672.94
79,FDV25,5.905,Canned,Low Fat,222.5456,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,5305.0944,1180625.42
80,FDD58,7.76,Snack Foods,Low Fat,101.87,0.059352241,OUT046,1997,small,1,Tier 1,Supermarket Type1,1697.79,172953.87
81,FDN04,11.8,Frozen Foods,Regular,180.3344,0.014087057,OUT046,1997,small,1,Tier 1,Supermarket Type1,1427.4752,257422.88
82,FDV45,16.75,Snack Foods,Low Fat,187.9556,0.045230944,OUT018,2009,medium,2,Tier 3,Supermarket Type2,4693.89,882242.91
83,NCL18,12.6,Household,Low Fat,194.6136,0.293417759,OUT019,1985,small,1,Tier 1,Grocery Store,583.2408,113506.59
84,FDR12,12.6,Baking Goods,Regular,171.3764,0.031382044,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3091.9752,529891.58
85,FDG20,15.5,Fruits and Vegetables,Regular,177.0028,0.12639886,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2479.4392,438867.68
86,FDZ55,6.055,Fruits and Vegetables,Low Fat,160.992,0.025403898,OUT035,2004,small,1,Tier 2,Supermarket Type1,2716.464,437328.97
87,FDQ49,12.6,Breakfast,Regular,155.963,0.039057677,OUT027,1985,medium,2,Tier 3,Supermarket Type3,3285.723,512451.22
88,FDN33,6.305,Snack Foods,Regular,95.6436,0.123115764,OUT046,1997,small,1,Tier 1,Supermarket Type1,661.8052,63297.43
89,FDN27,20.85,Meat,Low Fat,117.2808,0.039624006,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1523.3504,178659.75
90,FDW20,20.75,Fruits and Vegetables,Low Fat,122.173,0.040421193,OUT010,1998,medium,2,Tier 3,Grocery Store,369.519,45145.24
91,DRG27,8.895,Dairy,Low Fat,39.9138,0.105274111,OUT049,1999,medium,2,Tier 1,Supermarket Type1,690.4346,27557.87
92,DRI25,19.6,Soft Drinks,Low Fat,55.1614,0.033970195,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1381.535,76207.4
93,FDA44,19.7,Fruits and Vegetables,Low Fat,57.893,0.053212652,OUT035,2004,small,1,Tier 2,Supermarket Type1,622.523,36039.72
94,NCR17,9.8,Health and Hygiene,Low Fat,114.5492,0.024378706,OUT035,2004,small,1,Tier 2,Supermarket Type1,1274.3412,145974.76
95,FDU04,12.6,Frozen Foods,Low Fat,120.0414,0.009714595,OUT019,1985,small,1,Tier 1,Grocery Store,487.3656,58504.05
96,FDF41,12.15,Frozen Foods,Low Fat,246.046,0.131383762,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1231.73,303062.24
97,FDB56,8.75,Fruits and Vegetables,Regular,187.4556,0.07461309,OUT035,2004,small,1,Tier 2,Supermarket Type1,3755.112,703916.77
98,NCP18,12.6,Household,Low Fat,149.9708,0.028459761,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4363.6532,654420.56
99,FDB56,8.75,Fruits and Vegetables,Regular,187.8556,0.074627201,OUT046,1997,small,1,Tier 1,Supermarket Type1,1314.2892,246896.59
100,FDT28,13.3,Frozen Foods,Low Fat,151.0708,0.063695084,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1805.6496,272780.93
101,FDD10,12.6,Snack Foods,Regular,178.5344,0.045797829,OUT027,1985,medium,2,Tier 3,Supermarket Type3,2854.9504,509706.86
102,FDW57,8.31,Snack Foods,Regular,179.1028,0.115857223,OUT049,1999,medium,2,Tier 1,Supermarket Type1,3896.2616,697831.36
103,DRB48,16.75,Soft Drinks,Regular,38.7822,0.024832806,OUT013,1987,high,3,Tier 3,Supermarket Type1,667.7974,25898.65
104,FDP09,19.75,Snack Foods,Low Fat,212.0902,0.034027909,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3185.853,675688.2
105,FDH14,17.1,Canned,Regular,141.1838,0.0467696,OUT013,1987,high,3,Tier 3,Supermarket Type1,2247.7408,317344.59
106,FDA47,10.5,Baking Goods,Regular,163.121,0.116576702,OUT013,1987,high,3,Tier 3,Supermarket Type1,1794.331,292693.07
107,FDG12,6.635,Baking Goods,Regular,121.3098,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2530.7058,306999.41
108,DRE60,12.6,Soft Drinks,Low Fat,225.372,0.278974075,OUT019,1985,small,1,Tier 1,Grocery Store,679.116,153053.73
109,DRK49,14.15,Soft Drinks,Low Fat,41.4138,0.035913805,OUT013,1987,high,3,Tier 3,Supermarket Type1,812.276,33639.44
110,FDD03,13.3,Dairy,Low Fat,232.53,0.079806266,OUT046,1997,small,1,Tier 1,Supermarket Type1,699.09,162559.4
111,FDS52,8.89,Frozen Foods,Low Fat,102.4016,0.005505481,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2732.4432,279806.56
112,FDW39,12.6,Meat,Regular,176.937,0.064625342,OUT019,1985,small,1,Tier 1,Grocery Store,176.437,31218.23
113,FDX34,12.6,Snack Foods,Low Fat,121.7098,0.071636937,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4097.3332,498685.6
114,FDV11,9.1,Breads,Regular,173.2054,0.0,OUT045,2002,medium,2,Tier 2,Supermarket Type1,3151.8972,545925.62
115,FDD17,7.5,Frozen Foods,Low Fat,239.0906,0.032677678,OUT049,1999,medium,2,Tier 1,Supermarket Type1,5942.265,1420739.7
116,FDZ16,16.85,Frozen Foods,Regular,192.4478,0.160760054,OUT017,2007,medium,2,Tier 2,Supermarket Type1,4843.695,932158.45
117,FDZ46,7.485,Snack Foods,Low Fat,109.0228,0.06911065,OUT035,2004,small,1,Tier 2,Supermarket Type1,2542.0244,277138.62
118,DRA12,11.6,Soft Drinks,Low Fat,140.3154,0.041177505,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2552.6772,358179.92
119,FDY58,11.65,Snack Foods,Low Fat,227.0694,0.040081193,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1141.847,259278.51
120,NCF19,13.0,Household,Low Fat,47.5034,0.035307322,OUT017,2007,medium,2,Tier 2,Supermarket Type1,680.4476,32323.57
121,DRJ13,12.65,Soft Drinks,Low Fat,159.0578,0.063017847,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2085.9514,331786.84
122,FDB14,20.25,Canned,Regular,92.512,0.171938781,OUT010,1998,medium,2,Tier 3,Grocery Store,186.424,17246.46
123,FDJ38,8.6,Canned,Regular,190.153,0.040197932,OUT035,2004,small,1,Tier 2,Supermarket Type1,3036.048,577313.64
124,FDW11,12.6,Breads,Low Fat,62.7194,0.049058014,OUT017,2007,medium,2,Tier 2,Supermarket Type1,866.8716,54369.67
125,FDL40,17.7,Frozen Foods,Low Fat,95.041,0.01161096,OUT035,2004,small,1,Tier 2,Supermarket Type1,868.869,82578.18
126,DRI49,14.15,Soft Drinks,Low Fat,82.4276,0.183507295,OUT046,1997,small,1,Tier 1,Supermarket Type1,1137.1864,93735.55
127,FDV38,19.25,Dairy,Low Fat,52.7956,0.102349519,OUT017,2007,medium,2,Tier 2,Supermarket Type1,928.1252,49000.93
128,DRG23,8.88,Hard Drinks,Low Fat,151.7682,0.086708987,OUT013,1987,high,3,Tier 3,Supermarket Type1,762.341,115699.12
129,NCP30,20.5,Household,Low Fat,40.2822,0.032835147,OUT045,2002,medium,2,Tier 2,Supermarket Type1,707.0796,28482.72
130,FDY25,12.6,Canned,Low Fat,180.5976,0.033809913,OUT027,1985,medium,2,Tier 3,Supermarket Type3,7968.2944,1439054.84
131,NCH54,13.5,Household,Low Fat,160.292,0.07266912,OUT046,1997,small,1,Tier 1,Supermarket Type1,1438.128,230520.41
132,NCR53,12.6,Health and Hygiene,Low Fat,224.4404,0.144338493,OUT027,1985,medium,2,Tier 3,Supermarket Type3,6976.2524,1565752.88
133,FDS52,8.89,Frozen Foods,Low Fat,101.7016,0.009163216,OUT010,1998,medium,2,Tier 3,Grocery Store,101.2016,10292.36
134,FDG02,7.855,Canned,Low Fat,188.5188,0.011307038,OUT018,2009,medium,2,Tier 3,Supermarket Type2,952.094,179487.62
135,NCO26,7.235,Household,Low Fat,116.0492,0.076855628,OUT046,1997,small,1,Tier 1,Supermarket Type1,1969.4364,228551.52
136,FDH35,12.6,Starchy Foods,Low Fat,165.4526,0.059956876,OUT027,1985,medium,2,Tier 3,Supermarket Type3,5262.4832,870691.53
137,FDB51,6.92,Dairy,Low Fat,60.5852,0.038532062,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1314.2892,79626.47
138,FDX44,9.3,Fruits and Vegetables,Low Fat,90.8172,0.043209581,OUT017,2007,medium,2,Tier 2,Supermarket Type1,535.3032,48614.74
139,NCN07,18.5,Others,Low Fat,132.1284,0.056816465,OUT010,1998,medium,2,Tier 3,Grocery Store,263.6568,34836.55
140,NCC31,8.02,Household,Low Fat,154.5972,0.019866705,OUT035,2004,small,1,Tier 2,Supermarket Type1,1402.1748,216772.3
141,NCX54,9.195,Household,Low Fat,105.1622,0.048331717,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1693.7952,178123.23
142,NCO55,12.8,Others,Low Fat,105.5938,0.091221855,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2143.876,226380.01
143,NCC30,16.6,Household,Low Fat,177.6344,0.027622076,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2676.516,475441.31
144,FDI16,14.0,Frozen Foods,Regular,53.064,0.0,OUT035,2004,small,1,Tier 2,Supermarket Type1,905.488,48048.82
145,FDP16,18.6,Frozen Foods,Low Fat,246.3802,0.039355947,OUT049,1999,medium,2,Tier 1,Supermarket Type1,7370.406,1815922.1
146,FDB11,16.0,Starchy Foods,Low Fat,226.8404,0.060836524,OUT035,2004,small,1,Tier 2,Supermarket Type1,6301.1312,1429351.12
147,NCB06,17.6,Health and Hygiene,Low Fat,160.692,0.082316506,OUT035,2004,small,1,Tier 2,Supermarket Type1,1597.92,256772.96
148,FDA45,21.25,Snack Foods,Low Fat,178.237,0.155350299,OUT035,2004,small,1,Tier 2,Supermarket Type1,529.311,94342.8
149,NCO26,7.235,Household,Low Fat,117.5492,0.076841095,OUT035,2004,small,1,Tier 2,Supermarket Type1,1969.4364,231505.67
150,DRJ25,14.6,Soft Drinks,Low Fat,50.3692,0.151419185,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1034.6532,52114.65
151,FDR28,13.85,Frozen Foods,Regular,161.521,0.026001976,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1794.331,289822.14
152,FDI04,13.65,Frozen Foods,Regular,197.6426,0.073209447,OUT018,2009,medium,2,Tier 3,Supermarket Type2,2768.3964,547153.06
153,DRK12,12.6,Soft Drinks,Low Fat,31.29,0.041683481,OUT027,1985,medium,2,Tier 3,Supermarket Type3,898.83,28124.39
154,FDX20,7.365,Fruits and Vegetables,Low Fat,226.172,0.042560252,OUT046,1997,small,1,Tier 1,Supermarket Type1,3169.208,716786.11
155,NCI18,18.35,Household,Low Fat,223.5746,0.014081156,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3589.9936,802631.38
156,FDB36,5.465,Baking Goods,Regular,132.5626,0.0,OUT018,2009,medium,2,Tier 3,Supermarket Type2,262.3252,34774.51
157,FDN13,18.6,Breakfast,Low Fat,99.8358,0.152918384,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1910.1802,190704.37
158,DRD24,13.85,Soft Drinks,Low Fat,140.9154,0.030969274,OUT017,2007,medium,2,Tier 2,Supermarket Type1,1701.7848,239807.69
159,FDQ28,14.0,Frozen Foods,Regular,154.5656,0.060376776,OUT013,1987,high,3,Tier 3,Supermarket Type1,2471.4496,382001.09
160,FDM22,14.0,Snack Foods,Regular,54.764,0.04192285,OUT013,1987,high,3,Tier 3,Supermarket Type1,1331.6,72923.74
161,FDR07,12.6,Fruits and Vegetables,Low Fat,97.0094,0.077367431,OUT027,1985,medium,2,Tier 3,Supermarket Type3,1808.9786,175487.93
162,FDV25,5.905,Canned,Low Fat,222.5456,0.045838211,OUT018,2009,medium,2,Tier 3,Supermarket Type2,3315.684,737890.89
163,DRF49,7.27,Soft Drinks,Low Fat,114.2518,0.071077939,OUT046,1997,small,1,Tier 1,Supermarket Type1,2618.5914,299178.78
164,FDW51,6.155,Meat,Regular,214.556,0.094659871,OUT046,1997,small,1,Tier 1,Supermarket Type1,2769.728,594261.76
165,DRL01,19.5,Soft Drinks,Regular,233.4958,0.077608838,OUT017,2007,medium,2,Tier 2,Supermarket Type1,5375.0034,1255040.72
166,FDP25,15.2,Canned,Low Fat,216.8824,0.021327477,OUT017,2007,medium,2,Tier 2,Supermarket Type1,2838.9712,615722.89
167,FDL50,12.15,Canned,Regular,125.0046,0.042485444,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1743.0644,217891.07
168,NCB30,12.6,Household,Low Fat,198.8084,0.025578526,OUT027,1985,medium,2,Tier 3,Supermarket Type3,5555.4352,1104467.18
169,FDW11,12.6,Breads,Low Fat,61.9194,0.0489808,OUT018,2009,medium,2,Tier 3,Supermarket Type2,619.194,38340.12
170,NCM43,14.5,Others,Low Fat,164.821,0.019471688,OUT035,2004,small,1,Tier 2,Supermarket Type1,2120.573,349514.96
171,FDK44,16.6,Fruits and Vegetables,Low Fat,173.0738,0.122918852,OUT017,2007,medium,2,Tier 2,Supermarket Type1,3823.0236,661665.22
172,FDM15,11.8,Meat,Regular,151.4366,0.057373797,OUT013,1987,high,3,Tier 3,Supermarket Type1,1360.2294,205988.52
173,FDS31,13.1,Fruits and Vegetables,Regular,178.8318,0.044155597,OUT013,1987,high,3,Tier 3,Supermarket Type1,3969.4996,709872.76
174,FDI32,17.7,Fruits and Vegetables,Low Fat,115.1834,0.291865402,OUT010,1998,medium,2,Tier 3,Grocery Store,345.5502,39801.65
175,FDR47,17.85,Breads,Low Fat,196.5794,0.0,OUT010,1998,medium,2,Tier 3,Grocery Store,585.2382,115045.77
176,FDB35,12.3,Starchy Foods,Regular,92.6804,0.064750025,OUT045,2002,medium,2,Tier 2,Supermarket Type1,1010.6844,93670.63
177,NCU05,11.8,Health and Hygiene,Low Fat,81.4618,0.098312421,OUT010,1998,medium,2,Tier 3,Grocery Store,161.1236,13125.42
178,DRY23,12.6,Soft Drinks,Regular,42.1112,0.191013663,OUT019,1985,small,1,Tier 1,Grocery Store,42.6112,1794.41
179,FDO24,11.1,Baking Goods,Low Fat,157.4604,0.176573035,OUT045,2002,medium,2,Tier 2,Supermarket Type1,3010.7476,474073.52
180,FDQ28,12.6,Frozen Foods,Regular,153.0656,0.060134441,OUT027,1985,medium,2,Tier 3,Supermarket Type3,6024.1584,922091.42
181,FDV39,11.3,Meat,Low Fat,198.1426,0.007294652,OUT045,2002,medium,2,Tier 2,Supermarket Type1,988.713,195906.16
182,NCO17,12.6,Health and Hygiene,Low Fat,117.944,0.128478462,OUT019,1985,small,1,Tier 1,Grocery Store,239.688,28269.76
183,FDU50,5.75,Dairy,Regular,112.8176,0.075107656,OUT013,1987,high,3,Tier 3,Supermarket Type1,1374.2112,155035.21
184,FDT12,12.6,Baking Goods,Regular,226.8062,0.049381406,OUT027,1985,medium,2,Tier 3,Supermarket Type3,4739.8302,1075022.88
185,FDK58,11.35,Snack Foods,Regular,100.0016,0.045165796,OUT018,2009,medium,2,Tier 3,Supermarket Type2,1012.016,101203.22
186,FDO08,12.6,Fruits and Vegetables,Regular,165.7526,0.09415375,OUT019,1985,small,1,Tier 1,Grocery Store,657.8104,109033.78
187,NCW29,14.0,Health and Hygiene,Low Fat,130.431,0.028907832,OUT049,1999,medium,2,Tier 1,Supermarket Type1,778.986,101603.92
188,FDE04,19.75,Frozen Foods,Regular,179.766,0.018059621,OUT045,2002,medium,2,Tier 2,Supermarket Type1,2336.958,420105.59
189,NCB19,6.525,Household,Low Fat,85.0882,0.090436094,OUT049,1999,medium,2,Tier 1,Supermarket Type1,2233.0932,190009.88
190,FDV15,10.3,Meat,Low Fat,103.9648,0.146399712,OUT049,1999,medium,2,Tier 1,Supermarket Type1,1661.8368,172772.53
191,FDL58,5.78,Snack Foods,Regular,264.7568,0.074264356,OUT049,1999,medium,2,Tier 1,Supermarket Type1,4745.8224,1256488.75
